Date,Close,Open,High,Low
2015-04-09,31.64,31.4625,31.645,31.165
2015-04-10,31.775,31.4875,31.8025,31.315
2015-04-13,31.7125,32.0925,32.1425,31.6525
2015-04-14,31.575,31.75,31.8225,31.4775
2015-04-15,31.695,31.6025,31.7825,31.5025
2015-04-16,31.5425,31.57,31.775,31.5275
2015-04-17,31.1875,31.3875,31.535,31.115
2015-04-20,31.9,31.3925,32.03,31.2925
2015-04-21,31.7275,32.025,32.05,31.6675
2015-04-22,32.155,31.7475,32.2175,31.58
2015-04-23,32.4175,32.075,32.605,32.035
2015-04-24,32.57,32.6225,32.6575,32.3075
2015-04-27,33.1625,33.0775,33.2825,32.7875
2015-04-28,32.64,33.6138,33.635,32.3925
2015-04-29,32.16,32.54,32.8975,32.075
2015-04-30,31.2875,31.875,31.97,31.145
2015-05-01,32.2375,31.525,32.5325,31.325
2015-05-04,32.175,32.375,32.6425,32.065
2015-05-05,31.45,32.0375,32.1125,31.445
2015-05-06,31.2525,31.64,31.6875,30.84
2015-05-07,31.315,31.1925,31.52,31.005
2015-05-08,31.905,31.67,31.905,31.5275
2015-05-11,31.58,31.8475,31.89,31.4063
2015-05-12,31.4662,31.4,31.72,31.205
2015-05-13,31.5025,31.5375,31.7975,31.4675
2015-05-14,32.2375,31.8525,32.2375,31.79
2015-05-15,32.1925,32.2675,32.3725,32.0525
2015-05-18,32.5475,32.095,32.68,32.09
2015-05-19,32.5175,32.6725,32.72,32.41
2015-05-20,32.515,32.5,32.745,32.335
2015-05-21,32.8475,32.5175,32.9075,32.4575
2015-05-22,33.135,32.9,33.2425,32.85
2015-05-26,32.405,33.15,33.2275,32.28
2015-05-27,33.0112,32.585,33.065,32.5125
2015-05-28,32.945,32.965,32.9875,32.775
2015-05-29,32.57,32.8075,32.8625,32.475
2015-06-01,32.6337,32.8,32.8475,32.5125
2015-06-02,32.49,32.465,32.6638,32.33
2015-06-03,32.53,32.665,32.735,32.475
2015-06-04,32.34,32.395,32.645,32.2275
2015-06-05,32.1625,32.375,32.4225,32.09
2015-06-08,31.95,32.225,32.3025,31.7075
2015-06-09,31.855,31.675,32.02,31.405
2015-06-10,32.22,31.98,32.335,31.9625
2015-06-11,32.1475,32.295,32.545,32.1187
2015-06-12,31.7925,32.0463,32.0825,31.7775
2015-06-15,31.73,31.525,31.81,31.4275
2015-06-16,31.9,31.7575,31.9625,31.5925
2015-06-17,31.825,31.93,31.97,31.685
2015-06-18,31.97,31.8075,32.0775,31.805
2015-06-19,31.65,31.9275,31.955,31.6
2015-06-22,31.9025,31.8725,32.015,31.77
2015-06-23,31.7575,31.87,31.9025,31.7198
2015-06-24,32.0275,31.8025,32.45,31.78
2015-06-25,31.875,32.215,32.3,31.875
2015-06-26,31.6875,31.9175,31.9975,31.6275
2015-06-29,31.1325,31.365,31.6175,31.12
2015-06-30,31.3562,31.3925,31.53,31.215
2015-07-01,31.65,31.725,31.735,31.4975
2015-07-02,31.61,31.6075,31.6725,31.4425
2015-07-06,31.5,31.235,31.5575,31.2125
2015-07-07,31.4225,31.4725,31.5375,30.9425
2015-07-08,30.6425,31.12,31.16,30.635
2015-07-09,30.0175,30.9625,31.015,29.805
2015-07-10,30.82,30.485,30.9625,30.3025
2015-07-13,31.415,31.2575,31.4387,31.08
2015-07-14,31.4025,31.51,31.5925,31.26
2015-07-15,31.705,31.43,31.7875,31.395
2015-07-16,32.1275,31.935,32.1425,31.8375
2015-07-17,32.405,32.27,32.405,32.0775
2015-07-20,33.0175,32.7425,33.2425,32.675
2015-07-21,32.6875,33.2125,33.23,32.58
2015-07-22,31.305,30.4975,31.375,30.4975
2015-07-23,31.29,31.55,31.7725,31.265
2015-07-24,31.125,31.33,31.435,30.975
2015-07-27,30.6925,30.7725,30.9025,30.53
2015-07-28,30.845,30.845,30.9775,30.6375
2015-07-29,30.7475,30.7875,30.875,30.5675
2015-07-30,30.5925,30.58,30.6425,30.4275
2015-07-31,30.325,30.65,30.6606,30.2275
2015-08-03,29.61,30.375,30.6425,29.38
2015-08-04,28.66,29.355,29.425,28.3125
2015-08-05,28.85,28.2375,29.36,28.025
2015-08-06,28.7825,28.9925,29.125,28.5287
2015-08-07,28.88,28.645,29.0625,28.625
2015-08-10,29.93,29.1325,29.9975,29.1325
2015-08-11,28.3725,29.4525,29.545,28.3325
2015-08-12,28.81,28.1325,28.855,27.4075
2015-08-13,28.7875,29.01,29.1,28.635
2015-08-14,28.99,28.58,29.0775,28.5025
2015-08-17,29.29,29.01,29.4125,28.875
2015-08-18,29.125,29.1075,29.36,29.0025
2015-08-19,28.7525,29.025,29.13,28.67
2015-08-20,28.1625,28.52,28.5875,27.9075
2015-08-21,26.44,27.6075,27.975,26.4112
2015-08-24,25.78,23.7175,27.2,23.0
2015-08-25,25.935,27.7775,27.7775,25.875
2015-08-26,27.4225,26.7712,27.4725,26.2625
2015-08-27,28.23,28.0575,28.31,27.505
2015-08-28,28.3225,28.0425,28.3275,27.885
2015-08-31,28.19,28.0075,28.6325,28.0
2015-09-01,26.93,27.5375,27.97,26.84
2015-09-02,28.085,27.5575,28.085,27.2828
2015-09-03,27.5925,28.1225,28.195,27.51
2015-09-04,27.3175,27.2425,27.6125,27.1275
2015-09-08,28.0775,27.9125,28.14,27.58
2015-09-09,27.5375,28.44,28.505,27.4425
2015-09-10,28.1425,27.5675,28.3206,27.475
2015-09-11,28.5525,27.9475,28.5525,27.94
2015-09-14,28.8275,29.145,29.2225,28.715
2015-09-15,29.07,28.9825,29.1325,28.605
2015-09-16,29.1025,29.0625,29.135,28.86
2015-09-17,28.48,28.915,29.1225,28.4288
2015-09-18,28.3625,28.0525,28.575,27.9675
2015-09-21,28.8025,28.4175,28.8425,28.415
2015-09-22,28.35,28.345,28.545,28.13
2015-09-23,28.58,28.4075,28.68,28.325
2015-09-24,28.75,28.3125,28.875,28.0925
2015-09-25,28.6775,29.11,29.1725,28.505
2015-09-28,28.11,28.4625,28.6425,28.11
2015-09-29,27.265,28.2075,28.3775,26.965
2015-09-30,27.575,27.5425,27.885,27.1825
2015-10-01,27.395,27.2675,27.405,26.8275
2015-10-02,27.595,27.0025,27.7534,26.8875
2015-10-05,27.695,27.47,27.8424,27.2675
2015-10-06,27.8275,27.6575,27.935,27.4413
2015-10-07,27.695,27.935,27.9425,27.3525
2015-10-08,27.375,27.5475,27.5475,27.0525
2015-10-09,28.03,27.5,28.07,27.3725
2015-10-12,27.9,28.1825,28.1875,27.86
2015-10-13,27.9475,27.705,28.1125,27.67
2015-10-14,27.5525,27.8225,27.88,27.39
2015-10-15,27.965,27.7325,28.025,27.6225
2015-10-16,27.76,27.945,28.0,27.6325
2015-10-19,27.9325,27.7,27.9375,27.5275
2015-10-20,28.4425,27.835,28.5425,27.705
2015-10-21,28.44,28.5,28.895,28.425
2015-10-22,28.875,28.5825,28.875,28.525
2015-10-23,29.77,29.175,29.807,29.0825
2015-10-26,28.82,29.52,29.5325,28.73
2015-10-27,28.6375,28.85,29.135,28.4975
2015-10-28,29.8175,29.2325,29.825,29.015
2015-10-29,30.1325,29.675,30.1725,29.5675
2015-10-30,29.875,30.2475,30.305,29.8625
2015-11-02,30.295,29.9675,30.34,29.9025
2015-11-03,30.6425,30.1975,30.8725,30.175
2015-11-04,30.5,30.7825,30.955,30.405
2015-11-05,30.23,30.4625,30.6725,30.045
2015-11-06,30.265,30.2775,30.4525,30.155
2015-11-09,30.1425,30.24,30.4525,30.0125
2015-11-10,29.1925,29.225,29.5175,29.0153
2015-11-11,29.0275,29.0925,29.355,28.8025
2015-11-12,28.93,29.065,29.205,28.9125
2015-11-13,28.085,28.8,28.8925,28.0675
2015-11-16,28.5437,27.845,28.56,27.75
2015-11-17,28.4225,28.73,28.7625,28.33
2015-11-18,29.3225,28.94,29.3725,28.875
2015-11-19,29.695,29.41,29.9375,29.19
2015-11-20,29.825,29.8,29.98,29.7125
2015-11-23,29.4375,29.8175,29.9325,29.335
2015-11-24,29.72,29.3325,29.8375,29.28
2015-11-25,29.5075,29.8025,29.8075,29.48
2015-11-27,29.4525,29.5725,29.6025,29.4
2015-11-30,29.575,29.4975,29.8525,29.4375
2015-12-01,29.335,29.6875,29.7025,29.215
2015-12-02,29.07,29.2625,29.5275,29.02
2015-12-03,28.8,29.1375,29.1975,28.555
2015-12-04,29.7575,28.8225,29.8125,28.7775
2015-12-07,29.57,29.745,29.965,29.4525
2015-12-08,29.5575,29.38,29.65,29.215
2015-12-09,28.905,29.41,29.4225,28.77
2015-12-10,29.0425,29.01,29.235,28.8775
2015-12-11,28.295,28.7975,28.8475,28.2128
2015-12-14,28.12,28.045,28.17,27.4475
2015-12-15,27.6225,27.985,28.2,27.5875
2015-12-16,27.835,27.7675,27.9975,27.2
2015-12-17,27.245,28.005,28.0625,27.245
2015-12-18,26.5075,27.2275,27.38,26.4525
2015-12-21,26.8325,26.82,26.8425,26.3925
2015-12-22,26.8075,26.85,26.93,26.6127
2015-12-23,27.1525,26.8175,27.2125,26.8
2015-12-24,27.0075,27.25,27.25,26.9875
2015-12-28,26.705,26.8975,26.9225,26.5452
2015-12-29,27.185,26.74,27.3575,26.715
2015-12-30,26.83,27.145,27.175,26.795
2015-12-31,26.315,26.7525,26.7575,26.205
2016-01-04,26.3375,25.6525,26.342,25.5
2016-01-05,25.6775,26.4375,26.4625,25.6025
2016-01-06,25.175,25.14,25.5925,24.9675
2016-01-07,24.1125,24.67,25.0325,24.1075
2016-01-08,24.24,24.6375,24.7775,24.19
2016-01-11,24.6325,24.7425,24.765,24.335
2016-01-12,24.99,25.1375,25.1725,24.71
2016-01-13,24.3475,25.08,25.2975,24.325
2016-01-14,24.88,24.49,25.12,23.935
2016-01-15,24.2825,24.05,24.4275,23.84
2016-01-19,24.165,24.6025,24.6625,23.875
2016-01-20,24.1975,23.775,24.5474,23.355
2016-01-21,24.075,24.265,24.47,23.735
2016-01-22,25.355,24.6575,25.365,24.5925
2016-01-25,24.86,25.38,25.3825,24.8025
2016-01-26,24.9975,24.9825,25.22,24.5175
2016-01-27,23.355,24.01,24.1572,23.335
2016-01-28,23.5225,23.4475,23.63,23.0975
2016-01-29,24.335,23.6975,24.335,23.5875
2016-02-01,24.1075,24.1175,24.1775,23.85
2016-02-02,23.62,23.855,24.01,23.57
2016-02-03,24.0875,23.75,24.21,23.52
2016-02-04,24.15,23.965,24.3325,23.7975
2016-02-05,23.505,24.13,24.23,23.4225
2016-02-08,23.7525,23.2825,23.925,23.26
2016-02-09,23.7475,23.5725,23.985,23.4825
2016-02-10,23.5675,23.98,24.0875,23.525
2016-02-11,23.425,23.4475,23.68,23.1475
2016-02-12,23.4975,23.5475,23.625,23.2525
2016-02-16,24.16,23.755,24.2125,23.6525
2016-02-17,24.53,24.1675,24.5525,24.0375
2016-02-18,24.065,24.71,24.7225,24.0227
2016-02-19,24.01,24.0,24.19,23.95
2016-02-22,24.22,24.0775,24.225,23.98
2016-02-23,23.6725,24.1,24.125,23.6375
2016-02-24,24.025,23.495,24.095,23.33
2016-02-25,24.19,24.0125,24.19,23.8125
2016-02-26,24.2275,24.3,24.5059,24.145
2016-02-29,24.1725,24.215,24.5575,24.1625
2016-03-01,25.1325,24.4125,25.1925,24.355
2016-03-02,25.1875,25.1275,25.2225,24.91
2016-03-03,25.375,25.145,25.4275,25.1125
2016-03-04,25.7525,25.5925,25.9375,25.3425
2016-03-07,25.4675,25.5975,25.7075,25.24
2016-03-08,25.2575,25.195,25.44,25.1
